"","Well","Cycle","Target Name","Rn","dRn","Treatment","Duration","Replicate","Reporter","Quencher"
"57","B2",17,"GAPDH_e2i2",1.3887,0.0012,"DMSO",0,2,"SYBR","None"
"58","B2",18,"GAPDH_e2i2",1.3922,0.0016,"DMSO",0,2,"SYBR","None"
"59","B2",19,"GAPDH_e2i2",1.3919,-0.0018,"DMSO",0,2,"SYBR","None"
"60","B2",20,"GAPDH_e2i2",1.3955,-0.0012,"DMSO",0,2,"SYBR","None"
"61","B2",21,"GAPDH_e2i2",1.3973,-0.0024,"DMSO",0,2,"SYBR","None"
"62","B2",22,"GAPDH_e2i2",1.406,0.0032,"DMSO",0,2,"SYBR","None"
"63","B2",23,"GAPDH_e2i2",1.4098,0.004,"DMSO",0,2,"SYBR","None"
"64","B2",24,"GAPDH_e2i2",1.412,0.0031,"DMSO",0,2,"SYBR","None"
"65","B2",25,"GAPDH_e2i2",1.4196,0.0077,"DMSO",0,2,"SYBR","None"
"66","B2",26,"GAPDH_e2i2",1.4356,0.0206,"DMSO",0,2,"SYBR","None"
"67","B2",27,"GAPDH_e2i2",1.4596,0.0415,"DMSO",0,2,"SYBR","None"
"68","B2",28,"GAPDH_e2i2",1.5005,0.0794,"DMSO",0,2,"SYBR","None"
"69","B2",29,"GAPDH_e2i2",1.5759,0.1518,"DMSO",0,2,"SYBR","None"
"70","B2",30,"GAPDH_e2i2",1.7162,0.289,"DMSO",0,2,"SYBR","None"
"71","B2",31,"GAPDH_e2i2",1.9691,0.5389,"DMSO",0,2,"SYBR","None"
"72","B2",32,"GAPDH_e2i2",2.4138,0.9805,"DMSO",0,2,"SYBR","None"
"73","B2",33,"GAPDH_e2i2",3.0544,1.6181,"DMSO",0,2,"SYBR","None"
"74","B2",34,"GAPDH_e2i2",3.7701,2.3307,"DMSO",0,2,"SYBR","None"
"75","B2",35,"GAPDH_e2i2",4.5664,3.1239,"DMSO",0,2,"SYBR","None"
"76","B2",36,"GAPDH_e2i2",5.4175,3.972,"DMSO",0,2,"SYBR","None"
"77","B2",37,"GAPDH_e2i2",6.2812,4.8327,"DMSO",0,2,"SYBR","None"
"78","B2",38,"GAPDH_e2i2",7.1871,5.7355,"DMSO",0,2,"SYBR","None"
"79","B2",39,"GAPDH_e2i2",7.9482,6.4936,"DMSO",0,2,"SYBR","None"
"80","B2",40,"GAPDH_e2i2",8.7132,7.2555,"DMSO",0,2,"SYBR","None"
"81","C2",1,"GAPDH_e3i3",1.4712,-0.0043,"DMSO",0,2,"SYBR","None"
"82","C2",2,"GAPDH_e3i3",1.4751,-0.004,"DMSO",0,2,"SYBR","None"
"83","C2",3,"GAPDH_e3i3",1.481,-0.0018,"DMSO",0,2,"SYBR","None"
"84","C2",4,"GAPDH_e3i3",1.4909,0.0044,"DMSO",0,2,"SYBR","None"
"85","C2",5,"GAPDH_e3i3",1.4868,-0.0034,"DMSO",0,2,"SYBR","None"
"86","C2",6,"GAPDH_e3i3",1.4976,0.0037,"DMSO",0,2,"SYBR","None"
"87","C2",7,"GAPDH_e3i3",1.496,-0.0015,"DMSO",0,2,"SYBR","None"
"88","C2",8,"GAPDH_e3i3",1.4998,-0.0013,"DMSO",0,2,"SYBR","None"
"89","C2",9,"GAPDH_e3i3",1.5074,0.0026,"DMSO",0,2,"SYBR","None"
"90","C2",10,"GAPDH_e3i3",1.5092,6e-04,"DMSO",0,2,"SYBR","None"
"91","C2",11,"GAPDH_e3i3",1.5108,-0.0013,"DMSO",0,2,"SYBR","None"
"92","C2",12,"GAPDH_e3i3",1.5135,-0.0024,"DMSO",0,2,"SYBR","None"
"93","C2",13,"GAPDH_e3i3",1.519,-5e-04,"DMSO",0,2,"SYBR","None"
"94","C2",14,"GAPDH_e3i3",1.5237,6e-04,"DMSO",0,2,"SYBR","None"
"95","C2",15,"GAPDH_e3i3",1.524,-0.0028,"DMSO",0,2,"SYBR","None"
"96","C2",16,"GAPDH_e3i3",1.5302,-3e-04,"DMSO",0,2,"SYBR","None"
"97","C2",17,"GAPDH_e3i3",1.5348,6e-04,"DMSO",0,2,"SYBR","None"
"98","C2",18,"GAPDH_e3i3",1.5408,0.0029,"DMSO",0,2,"SYBR","None"
"99","C2",19,"GAPDH_e3i3",1.5421,6e-04,"DMSO",0,2,"SYBR","None"
"100","C2",20,"GAPDH_e3i3",1.5608,0.0156,"DMSO",0,2,"SYBR","None"
"101","C2",21,"GAPDH_e3i3",1.5815,0.0327,"DMSO",0,2,"SYBR","None"
"102","C2",22,"GAPDH_e3i3",1.6158,0.0633,"DMSO",0,2,"SYBR","None"
"103","C2",23,"GAPDH_e3i3",1.6887,0.1325,"DMSO",0,2,"SYBR","None"
"104","C2",24,"GAPDH_e3i3",1.817,0.2572,"DMSO",0,2,"SYBR","None"
"105","C2",25,"GAPDH_e3i3",2.0697,0.5062,"DMSO",0,2,"SYBR","None"
"106","C2",26,"GAPDH_e3i3",2.5223,0.9551,"DMSO",0,2,"SYBR","None"
"107","C2",27,"GAPDH_e3i3",3.2172,1.6463,"DMSO",0,2,"SYBR","None"
"108","C2",28,"GAPDH_e3i3",4.0419,2.4674,"DMSO",0,2,"SYBR","None"
"109","C2",29,"GAPDH_e3i3",4.9119,3.3338,"DMSO",0,2,"SYBR","None"
"110","C2",30,"GAPDH_e3i3",5.8408,4.2589,"DMSO",0,2,"SYBR","None"
"111","C2",31,"GAPDH_e3i3",6.7933,5.2078,"DMSO",0,2,"SYBR","None"
"112","C2",32,"GAPDH_e3i3",7.7102,6.121,"DMSO",0,2,"SYBR","None"
"113","C2",33,"GAPDH_e3i3",8.5475,6.9547,"DMSO",0,2,"SYBR","None"
"114","C2",34,"GAPDH_e3i3",9.2976,7.7011,"DMSO",0,2,"SYBR","None"
"115","C2",35,"GAPDH_e3i3",10.0156,8.4154,"DMSO",0,2,"SYBR","None"
"116","C2",36,"GAPDH_e3i3",10.5984,8.9946,"DMSO",0,2,"SYBR","None"
"117","C2",37,"GAPDH_e3i3",11.1457,9.5382,"DMSO",0,2,"SYBR","None"
"118","C2",38,"GAPDH_e3i3",11.657,10.0459,"DMSO",0,2,"SYBR","None"
"119","C2",39,"GAPDH_e3i3",12.0625,10.4477,"DMSO",0,2,"SYBR","None"
"120","C2",40,"GAPDH_e3i3",12.5069,10.8884,"DMSO",0,2,"SYBR","None"
"121","D2",1,"GAPDH_e4i4",1.4716,-0.0118,"DMSO",0,2,"SYBR","None"
"122","D2",2,"GAPDH_e4i4",1.4867,0.0011,"DMSO",0,2,"SYBR","None"
"123","D2",3,"GAPDH_e4i4",1.486,-0.0018,"DMSO",0,2,"SYBR","None"
"124","D2",4,"GAPDH_e4i4",1.4889,-0.0011,"DMSO",0,2,"SYBR","None"
"125","D2",5,"GAPDH_e4i4",1.492,-1e-04,"DMSO",0,2,"SYBR","None"
"126","D2",6,"GAPDH_e4i4",1.4947,4e-04,"DMSO",0,2,"SYBR","None"
"127","D2",7,"GAPDH_e4i4",1.4953,-0.0011,"DMSO",0,2,"SYBR","None"
"128","D2",8,"GAPDH_e4i4",1.5018,0.0031,"DMSO",0,2,"SYBR","None"
"129","D2",9,"GAPDH_e4i4",1.5048,0.004,"DMSO",0,2,"SYBR","None"
"130","D2",10,"GAPDH_e4i4",1.5043,0.0014,"DMSO",0,2,"SYBR","None"
"131","D2",11,"GAPDH_e4i4",1.5053,1e-04,"DMSO",0,2,"SYBR","None"
"132","D2",12,"GAPDH_e4i4",1.5059,-0.0015,"DMSO",0,2,"SYBR","None"
"133","D2",13,"GAPDH_e4i4",1.5075,-0.002,"DMSO",0,2,"SYBR","None"
"134","D2",14,"GAPDH_e4i4",1.5083,-0.0034,"DMSO",0,2,"SYBR","None"
"135","D2",15,"GAPDH_e4i4",1.5152,0.0014,"DMSO",0,2,"SYBR","None"
"136","D2",16,"GAPDH_e4i4",1.5157,-3e-04,"DMSO",0,2,"SYBR","None"
"137","D2",17,"GAPDH_e4i4",1.5191,9e-04,"DMSO",0,2,"SYBR","None"
"138","D2",18,"GAPDH_e4i4",1.5227,0.0024,"DMSO",0,2,"SYBR","None"
"139","D2",19,"GAPDH_e4i4",1.5404,0.0179,"DMSO",0,2,"SYBR","None"
"140","D2",20,"GAPDH_e4i4",1.5527,0.028,"DMSO",0,2,"SYBR","None"
"141","D2",21,"GAPDH_e4i4",1.5973,0.0704,"DMSO",0,2,"SYBR","None"
"142","D2",22,"GAPDH_e4i4",1.6723,0.1432,"DMSO",0,2,"SYBR","None"
"143","D2",23,"GAPDH_e4i4",1.8151,0.2838,"DMSO",0,2,"SYBR","None"
"144","D2",24,"GAPDH_e4i4",2.0672,0.5338,"DMSO",0,2,"SYBR","None"
"145","D2",25,"GAPDH_e4i4",2.4691,0.9335,"DMSO",0,2,"SYBR","None"
"146","D2",26,"GAPDH_e4i4",2.9626,1.4249,"DMSO",0,2,"SYBR","None"
"147","D2",27,"GAPDH_e4i4",3.4684,1.9285,"DMSO",0,2,"SYBR","None"
"148","D2",28,"GAPDH_e4i4",3.939,2.397,"DMSO",0,2,"SYBR","None"
"149","D2",29,"GAPDH_e4i4",4.484,2.9398,"DMSO",0,2,"SYBR","None"
"150","D2",30,"GAPDH_e4i4",5.0319,3.4855,"DMSO",0,2,"SYBR","None"
"151","D2",31,"GAPDH_e4i4",5.6,4.0514,"DMSO",0,2,"SYBR","None"
"152","D2",32,"GAPDH_e4i4",6.1428,4.5921,"DMSO",0,2,"SYBR","None"
"153","D2",33,"GAPDH_e4i4",6.6713,5.1183,"DMSO",0,2,"SYBR","None"
"154","D2",34,"GAPDH_e4i4",7.149,5.5939,"DMSO",0,2,"SYBR","None"
"155","D2",35,"GAPDH_e4i4",7.6067,6.0494,"DMSO",0,2,"SYBR","None"
"156","D2",36,"GAPDH_e4i4",8.0302,6.4708,"DMSO",0,2,"SYBR","None"
"157","D2",37,"GAPDH_e4i4",8.4528,6.8911,"DMSO",0,2,"SYBR","None"
"158","D2",38,"GAPDH_e4i4",8.8274,7.2636,"DMSO",0,2,"SYBR","None"
"159","D2",39,"GAPDH_e4i4",9.162,7.596,"DMSO",0,2,"SYBR","None"
"160","D2",40,"GAPDH_e4i4",9.4878,7.9197,"DMSO",0,2,"SYBR","None"
"161","E2",1,"p21_e2i2",1.7113,-0.0087,"DMSO",0,2,"SYBR","None"
"162","E2",2,"p21_e2i2",1.7195,-0.0032,"DMSO",0,2,"SYBR","None"
"163","E2",3,"p21_e2i2",1.725,-3e-04,"DMSO",0,2,"SYBR","None"
"164","E2",4,"p21_e2i2",1.7309,0.0029,"DMSO",0,2,"SYBR","None"
"165","E2",5,"p21_e2i2",1.7301,-6e-04,"DMSO",0,2,"SYBR","None"
"166","E2",6,"p21_e2i2",1.7365,0.0031,"DMSO",0,2,"SYBR","None"
"167","E2",7,"p21_e2i2",1.7368,8e-04,"DMSO",0,2,"SYBR","None"
"168","E2",8,"p21_e2i2",1.7393,5e-04,"DMSO",0,2,"SYBR","None"
"169","E2",9,"p21_e2i2",1.7386,-0.0029,"DMSO",0,2,"SYBR","None"
"170","E2",10,"p21_e2i2",1.7429,-0.0013,"DMSO",0,2,"SYBR","None"
"171","E2",11,"p21_e2i2",1.7506,0.0038,"DMSO",0,2,"SYBR","None"
"172","E2",12,"p21_e2i2",1.7492,-3e-04,"DMSO",0,2,"SYBR","None"
"173","E2",13,"p21_e2i2",1.7487,-0.0035,"DMSO",0,2,"SYBR","None"
"174","E2",14,"p21_e2i2",1.7472,-0.0077,"DMSO",0,2,"SYBR","None"
"175","E2",15,"p21_e2i2",1.7553,-0.0023,"DMSO",0,2,"SYBR","None"
"176","E2",16,"p21_e2i2",1.759,-0.0012,"DMSO",0,2,"SYBR","None"
"177","E2",17,"p21_e2i2",1.7629,0,"DMSO",0,2,"SYBR","None"
"178","E2",18,"p21_e2i2",1.7657,1e-04,"DMSO",0,2,"SYBR","None"
"179","E2",19,"p21_e2i2",1.7774,0.009,"DMSO",0,2,"SYBR","None"
"180","E2",20,"p21_e2i2",1.7863,0.0152,"DMSO",0,2,"SYBR","None"
"181","E2",21,"p21_e2i2",1.8113,0.0376,"DMSO",0,2,"SYBR","None"
"182","E2",22,"p21_e2i2",1.8452,0.0688,"DMSO",0,2,"SYBR","None"
"183","E2",23,"p21_e2i2",1.9153,0.1362,"DMSO",0,2,"SYBR","None"
"184","E2",24,"p21_e2i2",2.0547,0.2729,"DMSO",0,2,"SYBR","None"
"185","E2",25,"p21_e2i2",2.3264,0.542,"DMSO",0,2,"SYBR","None"
"186","E2",26,"p21_e2i2",2.8079,1.0208,"DMSO",0,2,"SYBR","None"
"187","E2",27,"p21_e2i2",3.5651,1.7753,"DMSO",0,2,"SYBR","None"
"188","E2",28,"p21_e2i2",4.4936,2.701,"DMSO",0,2,"SYBR","None"
"189","E2",29,"p21_e2i2",5.54,3.7448,"DMSO",0,2,"SYBR","None"
"190","E2",30,"p21_e2i2",6.5762,4.7783,"DMSO",0,2,"SYBR","None"
"191","E2",31,"p21_e2i2",7.6305,5.8299,"DMSO",0,2,"SYBR","None"
"192","E2",32,"p21_e2i2",8.5703,6.7671,"DMSO",0,2,"SYBR","None"
"193","E2",33,"p21_e2i2",9.494,7.6881,"DMSO",0,2,"SYBR","None"
"194","E2",34,"p21_e2i2",10.2884,8.4798,"DMSO",0,2,"SYBR","None"
"195","E2",35,"p21_e2i2",11.0018,9.1905,"DMSO",0,2,"SYBR","None"
"196","E2",36,"p21_e2i2",11.6673,9.8533,"DMSO",0,2,"SYBR","None"
"197","E2",37,"p21_e2i2",12.2401,10.4235,"DMSO",0,2,"SYBR","None"
"198","E2",38,"p21_e2i2",12.8374,11.018,"DMSO",0,2,"SYBR","None"
"199","E2",39,"p21_e2i2",13.2448,11.4227,"DMSO",0,2,"SYBR","None"
"200","E2",40,"p21_e2i2",13.7395,11.9147,"DMSO",0,2,"SYBR","None"
