"Well","Cycle","Target","Rn","dRn","Treatment","Minutes","Replica"
"A2",33,"RPL3_e9e10",12.8452,11.4556,"DMSO","0","2"
"A2",34,"RPL3_e9e10",13.0881,11.6912,"DMSO","0","2"
"A2",35,"RPL3_e9e10",13.4162,12.0118,"DMSO","0","2"
"A2",36,"RPL3_e9e10",13.7021,12.2903,"DMSO","0","2"
"A2",37,"RPL3_e9e10",13.9022,12.483,"DMSO","0","2"
"A2",38,"RPL3_e9e10",14.1334,12.7068,"DMSO","0","2"
"A2",39,"RPL3_e9e10",14.3312,12.8972,"DMSO","0","2"
"A2",40,"RPL3_e9e10",14.5349,13.0935,"DMSO","0","2"
"A3",1,"RPL3_e9e10",1.2088,-0.0541,"297","0","1"
"A3",2,"RPL3_e9e10",1.2332,-0.0298,"297","0","1"
"A3",3,"RPL3_e9e10",1.2502,-0.0128,"297","0","1"
"A3",4,"RPL3_e9e10",1.2621,-8e-04,"297","0","1"
"A3",5,"RPL3_e9e10",1.2765,0.0136,"297","0","1"
"A3",6,"RPL3_e9e10",1.2857,0.0227,"297","0","1"
"A3",7,"RPL3_e9e10",1.2969,0.034,"297","0","1"
"A3",8,"RPL3_e9e10",1.3091,0.0462,"297","0","1"
"A3",9,"RPL3_e9e10",1.332,0.069,"297","0","1"
"A3",10,"RPL3_e9e10",1.3603,0.0974,"297","0","1"
"A3",11,"RPL3_e9e10",1.4069,0.1439,"297","0","1"
"A3",12,"RPL3_e9e10",1.4983,0.2353,"297","0","1"
"A3",13,"RPL3_e9e10",1.6538,0.3909,"297","0","1"
"A3",14,"RPL3_e9e10",1.9332,0.6703,"297","0","1"
"A3",15,"RPL3_e9e10",2.3587,1.0957,"297","0","1"
"A3",16,"RPL3_e9e10",2.8939,1.6309,"297","0","1"
"A3",17,"RPL3_e9e10",3.4883,2.2253,"297","0","1"
"A3",18,"RPL3_e9e10",4.1214,2.8585,"297","0","1"
"A3",19,"RPL3_e9e10",4.8221,3.5591,"297","0","1"
"A3",20,"RPL3_e9e10",5.4987,4.2357,"297","0","1"
"A3",21,"RPL3_e9e10",6.2351,4.9722,"297","0","1"
