#Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
#Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
#Experiment Run End Time;2017-02-17 12:25:38 PM CET;;;;;;;;;;;;;;;;;;;;;;;;
#Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
#Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Ct;Ct Mean;Ct SD;dCt;?C? Mean;?C? SE;HK Control ?C? Mean;HK Control ?C? SE;??C?;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;NOISE
C7;5h -;VEGF;UNKNOWN;SYBR;None;2.107118845;;;23.58288574;23.58288574;;;8.633210182;;;;-1.075271606;WAHR;0.804712998;WAHR;3;16;1;;N
C8;6h -;VEGF;UNKNOWN;SYBR;None;1.938976884;;;24.30571365;24.30571365;;;8.753186226;;;;-0.955295563;WAHR;0.804712998;WAHR;3;15;1;;N
C9;7h -;VEGF;UNKNOWN;SYBR;None;2.294376135;;;24.38827324;24.38827324;;;8.510379791;;;;-1.198101997;WAHR;0.804712998;WAHR;3;16;1;;N
C10;8h -;VEGF;UNKNOWN;SYBR;None;1.618061304;;;24.59078217;24.59078217;;;9.014215469;;;;-0.694266319;WAHR;0.804712998;WAHR;3;17;1;;N
C11;9h -;VEGF;UNKNOWN;SYBR;None;2.392819881;;;24.16642189;24.16642189;;;8.449769974;;;;-1.258711815;WAHR;0.804712998;WAHR;3;17;1;;N
C12;10h -;VEGF;UNKNOWN;SYBR;None;2.412442446;;;23.88456535;23.88456535;;;8.437987328;;;;-1.270494461;WAHR;0.804712998;WAHR;3;16;1;;N
D1;0h -;RPL3;UNKNOWN;SYBR;None;;;;15.30360126;15.28359413;0.02829436;;;;;;;WAHR;0.881268072;WAHR;3;6;1;;N
D2;0.5h -;RPL3;UNKNOWN;SYBR;None;;;;14.96375847;14.96375847;;;;;;;;WAHR;0.881268072;WAHR;3;7;1;;N
D3;1h -;RPL3;UNKNOWN;SYBR;None;;;;14.62517929;14.62517929;;;;;;;;WAHR;0.881268072;WAHR;3;7;1;;N
D4;2h -;RPL3;UNKNOWN;SYBR;None;;;;15.16998005;15.16998005;;;;;;;;WAHR;0.881268072;WAHR;3;7;1;;N
D5;3h -;RPL3;UNKNOWN;SYBR;None;;;;15.00458717;15.00458717;;;;;;;;WAHR;0.881268072;WAHR;3;8;1;;N
D6;4h -;RPL3;UNKNOWN;SYBR;None;;;;15.22947025;15.22947025;;;;;;;;WAHR;0.881268072;WAHR;3;7;1;;N
D7;5h -;RPL3;UNKNOWN;SYBR;None;;;;14.94967556;14.94967556;;;;;;;;WAHR;0.881268072;WAHR;3;7;1;;N
D8;6h -;RPL3;UNKNOWN;SYBR;None;;;;15.55252743;15.55252743;;;;;;;;WAHR;0.881268072;WAHR;3;8;1;;N
D9;7h -;RPL3;UNKNOWN;SYBR;None;;;;15.87789345;15.87789345;;;;;;;;WAHR;0.881268072;WAHR;3;8;1;;N
D10;8h -;RPL3;UNKNOWN;SYBR;None;;;;15.5765667;15.5765667;;;;;;;;WAHR;0.881268072;WAHR;3;7;1;;N
D11;9h -;RPL3;UNKNOWN;SYBR;None;;;;15.71665192;15.71665192;;;;;;;;WAHR;0.881268072;WAHR;3;8;1;;N
D12;10h -;RPL3;UNKNOWN;SYBR;None;;;;15.44657803;15.44657803;;;;;;;;WAHR;0.881268072;WAHR;3;6;1;;N
E1;0h +;RPL3;UNKNOWN;SYBR;None;;;;15.263587;15.28359413;0.02829436;;;;;;;WAHR;0.881268072;WAHR;3;7;1;;N
E2;0.5h +;RPL3;UNKNOWN;SYBR;None;;;;14.83581734;14.83581734;;;;;;;;WAHR;0.881268072;WAHR;3;8;1;;N
E3;1h +;RPL3;UNKNOWN;SYBR;None;;;;15.08720398;15.08720398;;;;;;;;WAHR;0.881268072;WAHR;3;7;1;;N
E4;2h +;RPL3;UNKNOWN;SYBR;None;;;;15.97984028;15.97984028;;;;;;;;WAHR;0.881268072;WAHR;3;9;1;;N
E5;3h +;RPL3;UNKNOWN;SYBR;None;;;;15.58723736;15.58723736;;;;;;;;WAHR;0.881268072;WAHR;3;8;1;;N
E6;4h +;RPL3;UNKNOWN;SYBR;None;;;;15.10094166;15.10094166;;;;;;;;WAHR;0.881268072;WAHR;3;8;1;;N
E7;5h +;RPL3;UNKNOWN;SYBR;None;;;;15.98029232;15.98029232;;;;;;;;WAHR;0.881268072;WAHR;3;10;1;;Y
E8;6h +;RPL3;UNKNOWN;SYBR;None;;;;15.19087696;15.19087696;;;;;;;;WAHR;0.881268072;WAHR;3;8;1;;N
E9;7h +;RPL3;UNKNOWN;SYBR;None;;;;14.95637798;14.95637798;;;;;;;;WAHR;0.881268072;WAHR;3;7;1;;N
E10;8h +;RPL3;UNKNOWN;SYBR;None;;;;15.07007122;15.07007122;;;;;;;;WAHR;0.881268072;WAHR;3;8;1;;N
E11;9h +;RPL3;UNKNOWN;SYBR;None;;;;15.56458187;15.56458187;;;;;;;;WAHR;0.881268072;WAHR;3;8;1;;N
E12;10h +;RPL3;UNKNOWN;SYBR;None;;;;15.91345215;15.91345215;;;;;;;;WAHR;0.881268072;WAHR;3;8;1;;N
F1;0h +;VEGF;UNKNOWN;SYBR;None;1;0.837223291;1.19442451;24.93596458;24.99207687;0.079353414;;9.708481789;0.059571531;;;0;WAHR;0.804712998;WAHR;3;17;1;;N
F2;0.5h +;VEGF;UNKNOWN;SYBR;None;0.850746274;;;24.77749825;24.77749825;;;9.941680908;;;;0.23319912;WAHR;0.804712998;WAHR;3;16;1;;N
F3;1h +;VEGF;UNKNOWN;SYBR;None;0.692917526;;;25.32493019;25.32493019;;;10.23772621;;;;0.529244423;WAHR;0.804712998;WAHR;3;17;1;;N
F4;2h +;VEGF;UNKNOWN;SYBR;None;0.639472306;;;26.3333683;26.3333683;;;10.35352802;;;;0.645046234;WAHR;0.804712998;WAHR;3;19;1;;N
F5;3h +;VEGF;UNKNOWN;SYBR;None;1.157909989;;;25.08419609;25.08419609;;;9.496958733;;;;-0.211523056;WAHR;0.804712998;WAHR;3;18;1;;N
F6;4h +;VEGF;UNKNOWN;SYBR;None;1.005173445;;;24.80197906;24.80197906;;;9.701037407;;;;-0.007444382;WAHR;0.804712998;WAHR;3;17;1;;N
F7;5h +;VEGF;UNKNOWN;SYBR;None;2.235159159;;;24.52839661;24.52839661;;;8.548104286;;;;-1.160377502;WAHR;0.804712998;WAHR;3;17;1;;N
F8;6h +;VEGF;UNKNOWN;SYBR;None;1.302955866;;;24.5175705;24.5175705;;;9.326693535;;;;-0.381788254;WAHR;0.804712998;WAHR;3;17;1;;N
F9;7h +;VEGF;UNKNOWN;SYBR;None;1.599777937;;;23.98698807;23.98698807;;;9.030610085;;;;-0.677871704;WAHR;0.804712998;WAHR;3;16;1;;N
F10;8h +;VEGF;UNKNOWN;SYBR;None;1.626368761;;;24.07689857;24.07689857;;;9.006827354;;;;-0.701654434;WAHR;0.804712998;WAHR;3;16;1;;N
F11;9h +;VEGF;UNKNOWN;SYBR;None;2.194247246;;;24.13933754;24.13933754;;;8.574755669;;;;-1.13372612;WAHR;0.804712998;WAHR;3;16;1;;N
F12;10h +;VEGF;UNKNOWN;SYBR;None;1.915463567;;;24.68424034;24.68424034;;;8.770788193;;;;-0.937693596;WAHR;0.804712998;WAHR;3;18;1;;N
G1;0h +;IL6;UNKNOWN;SYBR;None;1;0.922875762;1.083569407;28.40976524;28.39176559;0.025454;;13.10817242;0.026911678;;;0;WAHR;0.432096506;WAHR;3;21;1;;N
G2;0.5h +;IL6;UNKNOWN;SYBR;None;0.997895479;;;27.94702911;27.94702911;;;13.11121178;;;;0.00303936;WAHR;0.432096506;WAHR;3;22;1;;N
G3;1h +;IL6;UNKNOWN;SYBR;None;3.396840572;;;26.43118286;26.43118286;;;11.34397888;;;;-1.764193535;WAHR;0.432096506;WAHR;3;21;1;;N
G4;2h +;IL6;UNKNOWN;SYBR;None;11.92965889;;;25.51153183;25.51153183;;;9.531691551;;;;-3.576480865;WAHR;0.432096506;WAHR;3;20;1;;N
G5;3h +;IL6;UNKNOWN;SYBR;None;15.36999989;;;24.75336456;24.75336456;;;9.166127205;;;;-3.942045212;WAHR;0.432096506;WAHR;3;19;1;;N
G6;4h +;IL6;UNKNOWN;SYBR;None;8.368837357;;;25.14408684;25.14408684;;;10.04314518;;;;-3.065027237;WAHR;0.432096506;WAHR;3;19;1;;N
G7;5h +;IL6;UNKNOWN;SYBR;None;1.668665886;;;28.34976959;28.34976959;;;12.36947727;;;;-0.738695145;WAHR;0.432096506;WAHR;3;22;1;;N
G8;6h +;IL6;UNKNOWN;SYBR;None;0.867987335;;;28.50330353;28.50330353;;;13.31242657;;;;0.20425415;WAHR;0.432096506;WAHR;3;22;1;;N
G9;7h +;IL6;UNKNOWN;SYBR;None;1.968708038;;;27.08730125;27.08730125;;;12.13092327;;;;-0.977249146;WAHR;0.432096506;WAHR;3;21;1;;N
G10;8h +;IL6;UNKNOWN;SYBR;None;1.360166073;;;27.73446083;27.73446083;;;12.66438961;;;;-0.443782806;WAHR;0.432096506;WAHR;3;21;1;;N
G11;9h +;IL6;UNKNOWN;SYBR;None;2.213398457;;;27.52649117;27.52649117;;;11.96190929;;;;-1.146263123;WAHR;0.432096506;WAHR;3;21;1;;N
G12;10h +;IL6;UNKNOWN;SYBR;None;1.666233301;;;28.28503418;28.28503418;;;12.37158203;;;;-0.736590385;WAHR;0.432096506;WAHR;3;22;1;;N
H1;0h +;IL1B;UNKNOWN;SYBR;None;1;0.790634394;1.264807105;20.38625336;20.46244049;0.107743531;;5.178845406;0.078769408;;;0;WAHR;0.856284854;WAHR;3;11;1;;N
H2;0.5h +;IL1B;UNKNOWN;SYBR;None;0.820428729;;;20.30021286;20.30021286;;;5.464395523;;;;0.285550117;WAHR;0.856284854;WAHR;3;12;1;;N
H3;1h +;IL1B;UNKNOWN;SYBR;None;1.153269291;;;20.0603199;20.0603199;;;4.973115921;;;;-0.205729485;WAHR;0.856284854;WAHR;3;12;1;;N
H4;2h +;IL1B;UNKNOWN;SYBR;None;3.004970551;;;19.57133484;19.57133484;;;3.59149456;;;;-1.587350845;WAHR;0.856284854;WAHR;3;11;1;;N
H5;3h +;IL1B;UNKNOWN;SYBR;None;3.610507011;;;18.9138813;18.9138813;;;3.326643944;;;;-1.852201462;WAHR;0.856284854;WAHR;3;12;1;;N
H6;4h +;IL1B;UNKNOWN;SYBR;None;3.433564186;;;18.50008011;18.50008011;;;3.399138451;;;;-1.779706955;WAHR;0.856284854;WAHR;3;11;1;;N
H7;5h +;IL1B;UNKNOWN;SYBR;None;7.307621479;;;18.28973579;18.28973579;;;2.309443474;;;;-2.869401932;WAHR;0.856284854;WAHR;3;10;1;;N
