# Type: Polygons
# Measurement: 818
# Cat: Lynx lynx
# Staining: PAS
# Section Thickness: 5um
#
Name,Area [um],Perimeter [um]
Polygon 1,405396.55,2333.97
Polygon 2,200890.79,1616.15
Polygon 3,514169.36,2642.24
Polygon 4,245389.66,1845.61
Polygon 5,419213.42,2399.77
Polygon 6,206674.63,1768.27
Polygon 7,603378.60,2977.71
Polygon 8,304660.20,2093.88
Polygon 9,392523.48,2309.59
Polygon 10,192287.02,1619.63
Polygon 11,499675.41,2652.65
Polygon 12,225383.74,1794.75
Polygon 13,598634.58,3170.53
Polygon 14,280567.36,2298.67
Polygon 15,398037.46,2278.10
Polygon 16,186384.75,1620.82
Polygon 17,597357.30,2873.78
Polygon 18,319549.14,2088.48
Polygon 19,798914.20,3383.33
Polygon 20,492748.43,2749.44
Polygon 21,576735.92,2871.24
Polygon 22,263682.67,1950.66
Polygon 23,446488.79,2430.96
Polygon 24,236781.27,1761.30
Polygon 25,738930.21,3263.26
Polygon 26,439345.39,2538.69
