# Type: Lines
# Measurement: 818
# Cat: Lynx lynx
# Staining: PAS
# Section Thickness: 5um
#
Name,Length [um]
Line 1,727.62
Line 2,678.52
Line 3,100.53
Line 4,128.61
Line 5,101.33
Line 6,117.04
Line 7,906.61
Line 8,705.21
Line 9,119.37
Line 10,118.06
Line 11,132.21
Line 12,99.24
Line 13,768.08
Line 14,829.53
Line 15,101.34
Line 16,110.91
Line 17,109.79
Line 18,109.45
Line 19,1122.85
Line 20,725.13
Line 21,118.22
Line 22,149.46
Line 23,198.36
Line 24,94.33
Line 25,780.83
Line 26,690.33
Line 27,91.65
Line 28,109.29
Line 29,125.46
Line 30,114.43
Line 31,932.54
Line 32,679.24
Line 33,124.57
Line 34,122.28
Line 35,191.40
Line 36,118.62
Line 37,1332.98
Line 38,589.42
Line 39,129.46
Line 40,109.84
Line 41,212.83
Line 42,93.62
Line 43,812.76
Line 44,652.32
Line 45,74.13
Line 46,108.90
Line 47,107.53
Line 48,84.01
Line 49,1047.66
Line 50,668.16
Line 51,135.18
Line 52,95.79
Line 53,67.76
Line 54,111.45
Line 55,1274.59
Line 56,742.76
Line 57,107.21
Line 58,104.88
Line 59,95.73
Line 60,113.39
Line 61,1072.08
Line 62,724.40
Line 63,135.38
Line 64,119.34
Line 65,125.24
Line 66,165.21
Line 67,754.73
Line 68,717.73
Line 69,113.87
Line 70,101.65
Line 71,128.46
Line 72,95.63
Line 73,1121.33
Line 74,753.55
Line 75,117.06
Line 76,95.62
Line 77,116.58
Line 78,141.62

