# Type: Polygons
# Measurement: 807
# Cat: Lynx lynx
# Staining: PAS
# Section Thickness: 5um
#
Name,Area [um],Perimeter [um]
Polygon 1,477569.11,2655.22
Polygon 2,245700.87,2031.44
Polygon 3,460952.99,2522.60
Polygon 4,234303.00,1830.05
Polygon 5,431048.51,2435.42
Polygon 6,206930.88,1709.76
Polygon 7,449982.89,2496.82
Polygon 8,223972.82,1832.00
Polygon 9,759525.85,3240.50
Polygon 10,397607.78,2346.34
Polygon 11,582887.66,2897.83
Polygon 12,274312.93,1972.37
Polygon 13,357146.29,2289.86
Polygon 14,151047.65,1521.98
Polygon 15,663014.49,3009.43
Polygon 16,315312.14,2095.91
Polygon 17,480556.95,2545.62
Polygon 18,252771.14,1844.48
Polygon 19,663336.15,3095.09
Polygon 20,307531.25,2140.67
Polygon 21,783600.74,3404.85
Polygon 22,378054.05,2405.49
Polygon 23,458899.52,2539.98
Polygon 24,216273.06,1767.78
Polygon 25,707954.40,3080.47
Polygon 26,351280.81,2225.92
