# Type: Lines
# Measurement: 717
# Cat: Pardofelis marmorata
# Staining: PAS
# Section Thickness: 5um
#
Name,Length [um]
Line 1,337.45
Line 2,266.11
Line 3,117.76
Line 4,120.26
Line 5,131.01
Line 6,143.32
Line 7,343.86
Line 8,355.58
Line 9,119.25
Line 10,127.24
Line 11,123.54
Line 12,115.46
Line 13,259.39
Line 14,272.74
Line 15,114.68
Line 16,116.18
Line 17,96.83
Line 18,123.66
Line 19,564.07
Line 20,426.59
Line 21,130.65
Line 22,119.89
Line 23,162.99
Line 24,187.78
Line 25,346.27
Line 26,335.89
Line 27,131.88
Line 28,106.07
Line 29,158.94
Line 30,99.93
Line 31,406.71
Line 32,275.53
Line 33,109.35
Line 34,110.18
Line 35,160.37
Line 36,111.04
Line 37,320.81
Line 38,402.81
Line 39,155.40
Line 40,132.36
Line 41,135.19
Line 42,102.13
Line 43,405.43
Line 44,327.83
Line 45,128.86
Line 46,139.81
Line 47,118.04
Line 48,114.19
Line 49,599.30
Line 50,364.33
Line 51,128.77
Line 52,161.26
Line 53,166.09
Line 54,214.78
Line 55,448.01
Line 56,211.93
Line 57,187.35
Line 58,102.74
Line 59,160.17
Line 60,103.08
Line 61,512.95
Line 62,274.32
Line 63,239.80
Line 64,114.38
Line 65,125.67
Line 66,138.22
Line 67,339.87
Line 68,451.36
Line 69,109.74
Line 70,103.52
Line 71,207.83
Line 72,133.52
