# Type: Lines
# Measurement: 6
# Cat: Puma concolor
# Staining: PAS
# Section Thickness: 5um
#
Name,Length [um]
Line 1,408.97
Line 2,271.31
Line 3,127.67
Line 4,134.89
Line 5,168.09
Line 6,125.78
Line 7,374.40
Line 8,341.16
Line 9,98.34
Line 10,128.95
Line 11,140.12
Line 12,141.64
Line 13,453.07
Line 14,326.78
Line 15,150.45
Line 16,128.93
Line 17,130.98
Line 18,213.60
Line 19,466.15
Line 20,360.33
Line 21,165.57
Line 22,151.33
Line 23,141.25
Line 24,119.79
Line 25,407.94
Line 26,370.28
Line 27,109.57
Line 28,148.98
Line 29,132.01
Line 30,144.60
Line 31,518.25
Line 32,318.47
Line 33,131.12
Line 34,151.10
Line 35,192.98
Line 36,126.60
Line 37,487.74
Line 38,272.99
Line 39,128.25
Line 40,148.25
Line 41,118.65
Line 42,137.35
Line 43,322.41
Line 44,321.94
Line 45,101.14
Line 46,113.66
Line 47,116.09
Line 48,117.96
Line 49,329.17
Line 50,381.57
Line 51,113.07
Line 52,119.04
Line 53,115.73
Line 54,149.88
