# Type: Lines
# Measurement: 807
# Cat: Lynx lynx
# Staining: PAS
# Section Thickness: 5um
#
Name,Length [um]
Line 1,763.86
Line 2,910.80
Line 3,109.10
Line 4,122.01
Line 5,123.84
Line 6,111.34
Line 7,846.80
Line 8,840.16
Line 9,120.34
Line 10,104.06
Line 11,96.20
Line 12,87.95
Line 13,868.27
Line 14,760.14
Line 15,101.28
Line 16,102.96
Line 17,89.50
Line 18,116.70
Line 19,872.47
Line 20,750.46
Line 21,111.92
Line 22,106.98
Line 23,147.39
Line 24,94.57
Line 25,1217.36
Line 26,820.64
Line 27,168.78
Line 28,122.81
Line 29,118.17
Line 30,220.88
Line 31,935.98
Line 32,952.74
Line 33,148.26
Line 34,144.31
Line 35,120.21
Line 36,130.03
Line 37,826.36
Line 38,590.82
Line 39,138.93
Line 40,120.60
Line 41,93.87
Line 42,116.04
Line 43,1010.90
Line 44,880.11
Line 45,122.92
Line 46,131.36
Line 47,133.80
Line 48,189.45
Line 49,914.90
Line 50,716.73
Line 51,103.07
Line 52,140.05
Line 53,96.05
Line 54,114.69
Line 55,1109.54
Line 56,798.59
Line 57,98.78
Line 58,148.70
Line 59,105.78
Line 60,138.97
Line 61,1324.88
Line 62,787.84
Line 63,162.24
Line 64,128.07
Line 65,162.64
Line 66,163.55
Line 67,907.55
Line 68,692.99
Line 69,162.91
Line 70,108.83
Line 71,119.04
Line 72,118.13
Line 73,969.91
Line 74,940.56
Line 75,127.03
Line 76,141.52
Line 77,135.42
Line 78,204.31
