# Type: Polygons
# Measurement: 717
# Bird: ZF
# Staining: PAS
# Section Thickness: 5um
# Number of Section on Slide: 2
# Magnification: 60x
# Date: 280617
#
Name,Area [um],Perimeter [um]
Polygon 1,197321.79,1769.00
Polygon 2,81282.35,1099.05
Polygon 3,91875.89,1120.62
Polygon 4,108970.51,1297.06
Polygon 5,61368.15,934.77
Polygon 6,89690.86,1143.58
Polygon 7,101597.74,1325.08
Polygon 8,186675.54,1759.69
Polygon 9,102049.07,1238.00
Polygon 10,99239.82,1163.64
Polygon 11,99112.17,1235.96
Polygon 12,15034.27,703.75
Polygon 13,2252.93,266.05
Polygon 14,4072.06,305.41
Polygon 15,5601.46,319.37
Polygon 16,3194.95,227.18
Polygon 17,4787.33,313.29
Polygon 18,4169.23,405.51
Polygon 19,8910.31,834.33
Polygon 20,4502.96,423.26
Polygon 21,8660.34,369.35
Polygon 22,8546.33,380.75
Polygon 23,93548.59,1146.05
Polygon 24,3915.86,259.04
