# Type: Lines
# Measurement: 12
# Bird: C. rufica
# Staining: PAS
# Section Thickness: 5um
# Number of Section on Slide: 1
# Magnification: 60x
# Date: 030717
#
Name,Length [um]
Line 1,300.09
Line 2,385.50
Line 3,156.23
Line 4,173.08
Line 5,185.43
Line 6,185.58
Line 7,441.65
Line 8,333.22
Line 9,176.28
Line 10,158.36
Line 11,125.71
Line 12,170.20
Line 13,500.81
Line 14,356.70
Line 15,185.56
Line 16,139.74
Line 17,181.81
Line 18,171.02
Line 19,403.68
Line 20,288.02
Line 21,119.16
Line 22,153.66
Line 23,130.47
Line 24,158.30
Line 25,399.99
Line 26,265.28
Line 27,115.43
Line 28,164.47
Line 29,121.82
Line 30,173.04
Line 31,416.99
Line 32,283.37
Line 33,129.63
Line 34,122.24
Line 35,108.22
Line 36,131.87
Line 37,428.01
Line 38,276.69
Line 39,118.34
Line 40,133.50
Line 41,139.37
Line 42,146.94
Line 43,402.78
Line 44,311.91
Line 45,147.44
Line 46,138.30
Line 47,142.00
Line 48,124.99
Line 49,347.94
Line 50,343.30
Line 51,141.41
Line 52,147.32
Line 53,131.06
Line 54,113.92
Line 55,443.30
Line 56,340.50
Line 57,169.05
Line 58,111.67
Line 59,163.91
Line 60,174.06
Line 61,377.81
Line 62,282.39
Line 63,159.39
Line 65,142.52
Line 66,144.52
Line 66,127.34
Line 67,372.85
Line 68,353.02
Line 69,153.28
Line 70,145.35
Line 71,148.59
Line 72,155.31
